
 ===================================================================================
|Iter. [ n ]|    latt_mu|  latt1_occ|    imp1_mu|   imp1_occ|     imp1_N|     imp1_S|
 ===================================================================================
|Iter. [  0]|   0.98122 |   6.29169 |   0.98122 |   6.32217 |   0.09344 |  52.03250 |
|Iter. [  1]|   0.83826 |   6.31800 |   0.83826 |   6.32093 |   0.08916 |  50.80080 |
|Iter. [  2]|   0.63859 |   6.33325 |   0.63859 |   6.33787 |   0.08937 |  39.82820 |
|Iter. [  3]|   0.63815 |   6.33603 |   0.63815 |   6.33786 |   0.08955 |  40.05150 |
|Iter. [  4]|   0.63642 |   6.33742 |   0.63642 |   6.33816 |   0.08977 |  39.93240 |
|Iter. [  5]|   0.63703 |   6.33802 |   0.63703 |   6.33798 |   0.08968 |  40.05560 |
|Iter. [  6]|   0.63609 |   6.33838 |   0.63609 |   6.33805 |   0.08953 |  40.00190 |
|Iter. [  7]|   0.63615 |   6.33854 |   0.63615 |   6.33793 |   0.08982 |  39.93160 |
|Iter. [  8]|   0.63582 |   6.33866 |   0.63582 |   6.33801 |   0.09004 |  39.95390 |
|Iter. [  9]|   0.63711 |   6.33858 |   0.63711 |   6.33801 |   0.08997 |  39.93260 |
|Iter. [ 10]|   0.63657 |   6.33865 |   0.63657 |   6.33801 |   0.09004 |  39.92130 |
|Iter. [ 11]|   0.63690 |   6.33864 |   0.63690 |   6.33769 |   0.08978 |  40.14160 |
|Iter. [ 12]|   0.63512 |   6.33871 |   0.63512 |   6.33796 |   0.08992 |  39.96760 |
|Iter. [ 13]|   0.63589 |   6.33868 |   0.63589 |   6.33838 |   0.08995 |  39.90280 |
|Iter. [ 14]|   0.63707 |   6.33853 |   0.63707 |   6.33826 |   0.08976 |  40.06810 |
|Iter. [ 15]|   0.63673 |   6.33852 |   0.63673 |   6.33810 |   0.08977 |  40.03560 |
|Iter. [ 16]|   0.63703 |   6.33851 |   0.63703 |   6.33797 |   0.09021 |  39.98640 |
|Iter. [ 17]|   0.63690 |   6.33861 |   0.63690 |   6.33824 |   0.08982 |  39.94830 |
|Iter. [ 18]|   0.63796 |   6.33858 |   0.63796 |   6.33839 |   0.09013 |  39.97610 |
|Iter. [ 19]|   0.63792 |   6.33853 |   0.63792 |   6.33851 |   0.08992 |  39.92200 |
|Iter. [ 20]|   0.63843 |   6.33847 |   0.63843 |   6.33856 |   0.08975 |  39.97510 |
|Iter. [ 21]|   0.63819 |   6.33842 |   0.63819 |   6.33874 |   0.08998 |  39.83780 |
|Iter. [ 22]|   0.63898 |   6.33839 |   0.63898 |   6.33856 |   0.08958 |  39.91100 |
|Iter. [ 23]|   0.63816 |   6.33844 |   0.63816 |   6.33805 |   0.08977 |  40.09310 |
|Iter. [ 24]|   0.63676 |   6.33855 |   0.63676 |   6.33844 |   0.09004 |  40.03040 |
|Iter. [ 25]|   0.63684 |   6.33855 |   0.63684 |   6.33872 |   0.09002 |  39.92800 |
|Iter. [ 26]|   0.63833 |   6.33842 |   0.63833 |   6.33869 |   0.08997 |  40.00620 |
|Iter. [ 27]|   0.63769 |   6.33838 |   0.63769 |   6.33893 |   0.08984 |  39.81010 |
|Iter. [ 28]|   0.63864 |   6.33838 |   0.63864 |   6.33874 |   0.08988 |  40.02930 |
|Iter. [ 29]|   0.63812 |   6.33839 |   0.63812 |   6.33822 |   0.08977 |  40.03260 |
|Iter. [ 30]|   0.63774 |   6.33844 |   0.63774 |   6.33847 |   0.08966 |  40.03730 |
|Iter. [ 31]|   0.63760 |   6.33846 |   0.63760 |   6.33875 |   0.08983 |  39.94200 |
|Iter. [ 32]|   0.63864 |   6.33836 |   0.63864 |   6.33877 |   0.08995 |  40.01350 |
|Iter. [ 33]|   0.63836 |   6.33830 |   0.63836 |   6.33895 |   0.08978 |  39.91290 |
|Iter. [ 34]|   0.63897 |   6.33827 |   0.63897 |   6.33881 |   0.08953 |  40.01630 |
|Iter. [ 35]|   0.63782 |   6.33833 |   0.63782 |   6.33889 |   0.08998 |  39.80220 |
|Iter. [ 36]|   0.63957 |   6.33828 |   0.63957 |   6.33890 |   0.08960 |  40.01820 |
|Iter. [ 37]|   0.63845 |   6.33834 |   0.63845 |   6.33819 |   0.08999 |  40.08200 |
|Iter. [ 38]|   0.63712 |   6.33841 |   0.63712 |   6.33864 |   0.08995 |  39.89570 |
|Iter. [ 39]|   0.63858 |   6.33835 |   0.63858 |   6.33863 |   0.09002 |  39.97740 |
|Iter. [ 40]|   0.63873 |   6.33832 |   0.63873 |   6.33863 |   0.08979 |  39.83870 |
|Iter. [ 41]|   0.63893 |   6.33835 |   0.63893 |   6.33841 |   0.08986 |  40.02190 |
|Iter. [ 42]|   0.63765 |   6.33844 |   0.63765 |   6.33835 |   0.08975 |  39.86470 |
|Iter. [ 43]|   0.63833 |   6.33850 |   0.63833 |   6.33819 |   0.08967 |  40.09820 |
|Iter. [ 44]|   0.63704 |   6.33853 |   0.63704 |   6.33849 |   0.09004 |  40.07230 |
|Iter. [ 45]|   0.63686 |   6.33846 |   0.63686 |   6.33886 |   0.08978 |  39.77410 |
|Iter. [ 46]|   0.63841 |   6.33840 |   0.63841 |   6.33825 |   0.08982 |  40.02460 |
|Iter. [ 47]|   0.63809 |   6.33841 |   0.63809 |   6.33848 |   0.08977 |  39.86590 |
|Iter. [ 48]|   0.63845 |   6.33842 |   0.63845 |   6.33828 |   0.08960 |  40.06820 |
|Iter. [ 49]|   0.63672 |   6.33855 |   0.63672 |   6.33840 |   0.08996 |  39.90400 |
|Iter. [ 50]|   0.63778 |   6.33854 |   0.63778 |
