  R1   R2   R3      I1   I2   I3      A1   A2           dist.               Jij
   0    0    0       0    0    0       1    1      0.00000000000000 1355.65225848829004
   0    0    1       0    0    1       1    1      2.48549001633649   7.81410441759151
   0    0   -1       0    0    9       1    1      2.48549001633649   7.81410441759151
   0    1    0       0    1    0       1    1      2.48549001633649   7.81410441759149
   0   -1    0       0    9    0       1    1      2.48549001633649   7.81410441759149
   1    0    0       1    0    0       1    1      2.48549001633649   7.81410441759149
   1    1    1       1    1    1       1    1      2.48549001633649   7.81410441759148
  -1    0    0       9    0    0       1    1      2.48549001633649   7.81410441759150
  -1   -1   -1       9    9    9       1    1      2.48549001633649   7.81410441759148
   0    1    1       0    1    1       1    1      2.86999666000000   5.54218183998482
   0   -1   -1       0    9    9       1    1      2.86999666000000   5.54218183998482
   1    0    1       1    0    1       1    1      2.86999666000000   5.54218183998481
   1    1    0       1    1    0       1    1      2.86999666000000   5.54206462099487
  -1    0   -1       9    0    9       1    1      2.86999666000000   5.54218183998481
  -1   -1    0       9    9    0       1    1      2.86999666000000   5.54206462099487
   0    1   -1       0    1    9       1    1      4.05878820053748   0.01669652269847
   0   -1    1       0    9    1       1    1      4.05878820053748   0.01669652269847
   1    0   -1       1    0    9       1    1      4.05878820053748   0.01669652269846
   1    1    2       1    1    2       1    1      4.05878820053748   0.01658460269616
   1    2    1       1    2    1       1    1      4.05878820053748   0.01669652269847
   1   -1    0       1    9    0       1    1      4.05878820053748   0.01658460269617
   2    1    1       2    1    1       1    1      4.05878820053748   0.01669652269847
  -2   -1   -1       8    9    9       1    1      4.05878820053748   0.01669652269847
  -1    0    1       9    0    1       1    1      4.05878820053748   0.01669652269846
  -1    1    0       9    1    0       1    1      4.05878820053748   0.01658460269617
  -1   -2   -1       9    8    9       1    1      4.05878820053748   0.01669652269847
  -1   -1   -2       9    9    8       1    1      4.05878820053748   0.01658460269616
   1    1   -1       1    1    9       1    1      4.75935103539660  -1.30928300664584
   1    2    0       1    2    0       1    1      4.75935103539660  -1.30928300664584
   2    1    0       2    1    0       1    1      4.75935103539660  -1.30928300664584
   2    2    1       2    2    1       1    1      4.75935103539660  -1.30928300664584
  -2   -2   -1       8    8    9       1    1      4.75935103539660  -1.30928300664584
  -2   -1    0       8    9    0       1    1      4.75935103539660  -1.30928300664584
  -1   -2    0       9    8    0       1    1      4.75935103539660  -1.30928300664584
  -1   -1    1       9    9    1       1    1      4.75935103539660  -1.30928300664584
   0    1    2       0    1    2       1    1      4.75935103539660  -1.30925159905283
   0    2    1       0    2    1       1    1      4.75935103539660  -1.30936165294841
   0   -2   -1       0    8    9       1    1      4.75935103539660  -1.30936165294841
   0   -1   -2       0    9    8       1    1      4.75935103539660  -1.30925159905283
   1    0    2       1    0    2       1    1      4.75935103539660  -1.30936165294841
   1    2    2       1    2    2       1    1      4.75935103539660  -1.30925159905283
   1   -1    1       1    9    1       1    1      4.75935103539660  -1.30925159905284
   1   -1   -1       1    9    9       1    1      4.75935103539660  -1.30936165294841
   2    0    1       2    0    1       1    1      4.75935103539660  -1.30925159905284
   2    1    2       2    1    2       1    1      4.75935103539660  -1.30936165294841
  -2    0   -1       8    0    9       1    1      4.75935103539660  -1.30925159905284
  -2   -1   -2       8    9    8       1    1      4.75935103539660  -1.30936165294841
  -1    0   -2       9    0    8       1    1      4.75935103539660  -1.30936165294841
  -1    1    1       9    1    1       1    1      4.75935103539660  -1.30936165294841
  -1    1   -1       9    1    9       1    1      4.75935103539660  -1.30925159905284
  -1   -2   -2       9    8    8       1    1      4.75935103539660  -1.30925159905283
   0    0    2       0    0    2       1    1      4.97098003267298   0.25722278705292
   0    0   -2       0    0    8       1    1      4.97098003267298   0.25722278705292
   0    2    0       0    2    0       1    1      4.97098003267298   0.25722278705292
   0   -2    0       0    8    0       1    1      4.97098003267298   0.25722278705292
   2    0    0       2    0    0       1    1      4.97098003267298   0.25722278705291
   2    2    2       2    2    2       1    1      4.97098003267298   0.25722278705291
  -2    0    0       8    0    0       1    1      4.97098003267298   0.25722278705291
  -2   -2   -2       8    8    8       1    1      4.97098003267298   0.25722278705291
   0    2    2       0    2    2       1    1      5.73999332000000   0.23974124553227
   0   -2   -2       0    8    8       1    1      5.73999332000000   0.23974124553227
   2    0    2       2    0    2       1    1      5.73999332000000   0.23974124553226
   2    2    0       2    2    0       1    1      5.73999332000000   0.23957372316934
  -2    0   -2       8    0    8       1    1      5.73999332000000   0.23974124553226
  -2   -2    0       8    8    0       1    1      5.73999332000000   0.23957372316933
   0    1   -2       0    1    8       1    1      6.25501270461963   0.12395511429748
   0    2   -1       0    2    9       1    1      6.25501270461963   0.12396013251218
   0   -2    1       0    8    1       1    1      6.25501270461963   0.12396013251218
   0   -1    2       0    9    2       1    1      6.25501270461963   0.12395511429748
   1    0   -2       1    0    8       1    1      6.25501270461963   0.12396013251218
   1    1    3       1    1    3       1    1      6.25501270461963   0.12385430243897
   1    3    1       1    3    1       1    1      6.25501270461963   0.12395511429748
   1   -2    0       1    8    0       1    1      6.25501270461963   0.12385430243897
   2    0   -1       2    0    9       1    1      6.25501270461963   0.12395511429748
   2    2    3       2    2    3       1    1      6.25501270461963   0.12385430243897
   2    3    2       2    3    2       1    1      6.25501270461963   0.12396013251218
   2   -1    0       2    9    0       1    1      6.25501270461963   0.12385430243897
   3    1    1       3    1    1       1    1      6.25501270461963   0.12396013251218
   3    2    2       3    2    2       1    1      6.25501270461963   0.12395511429748
  -3   -2   -2       7    8    8       1    1      6.25501270461963   0.12395511429748
  -3   -1   -1       7    9    9       1    1      6.25501270461963   0.12396013251218
  -2    0    1       8    0    1       1    1      6.25501270461963   0.12395511429748
  -2    1    0       8    1    0       1    1      6.25501270461963   0.12385430243897
  -2   -3   -2       8    7    8       1    1      6.25501270461963   0.12396013251218
  -2   -2   -3       8    8    7       1    1      6.25501270461963   0.12385430243897
  -1    0    2       9    0    2       1    1      6.25501270461963   0.12396013251218
  -1    2    0       9    2    0       1    1      6.25501270461963   0.12385430243897
  -1   -3   -1       9    7    9       1    1      6.25501270461963   0.12395511429748
  -1   -1   -3       9    9    7       1    1      6.25501270461963   0.12385430243897
   1    2    3       1    2    3       1    1      6.41750762695735   0.07068461928650
   1    2   -1       1    2    9       1    1      6.41750762695735   0.07063824513231
   1    3    2       1    3    2       1    1      6.41750762695735   0.07084967988832
   1   -2   -1       1    8    9       1    1      6.41750762695735   0.07091062755966
   1   -1    2       1    9    2       1    1      6.41750762695735   0.07084967988832
