0.1044985023564 0.364084925946 -0.5890673806202   0.6567275781667 -0.1987993887621   0.2039587738545 -0.2276677270908   -0.3181288838043 -0.09392837509957   
0.3134955070693 0.3457376412644 -0.4189621441338   0.5550408558925 -0.3226061735561   0.1011879020406 -0.3678652910354   -0.2850926313711 -0.1921867022691   
0.5224925117821 0.2992871037016 -0.3653884382475   0.4388489165628 -0.3548008830225   0.05616120179206 -0.4035532767153   -0.2485688133904 -0.2559526557985   
0.731489516495 0.2581131618909 -0.3328592254992   0.3517509390257 -0.3498293068833   0.0310010285625 -0.4039818856754   -0.2132392387637 -0.2906441213323   
0.9404865212078 0.2254243311683 -0.3092840448829   0.2896382004453 -0.3335874718021   0.01562798756741 -0.3913561905716   -0.182253331149 -0.30623142657   
1.149483525921 0.1987010513521 -0.2906425082971   0.2443652039181 -0.3148518767132   0.005966554753168 -0.3736215412462   -0.1558627356597 -0.3106177192305   
1.358480530634 0.1767744618585 -0.2748745387166   0.2103990128209 -0.2965231523379   -0.0001268831692169 -0.354534966511   -0.1339342826905 -0.3078387734944   
1.567477535346 0.1585786459405 -0.2611441423361   0.1842307190297 -0.2795738764857   -0.003956191108201 -0.3356626204574   -0.1158993478158 -0.3008668081595   
1.776474540059 0.1432087149639 -0.2490130025042   0.1635679982439 -0.264264514681   -0.006339962473064 -0.3176551358472   -0.1010642530201 -0.2916970613193   
1.985471544772 0.1300095842284 -0.2381519283141   0.1468695276817 -0.2505627254032   -0.007793630649178 -0.3007907092801   -0.08879732438669 -0.2815176633038   
2.194468549485 0.1185387772234 -0.2282957316356   0.1330819786669 -0.2383178705486   -0.008643362866396 -0.2851703285003   -0.07858268156125 -0.2709962786861   
2.403465554198 0.1084939135816 -0.2192450449392   0.1214783352411 -0.227343494513   -0.009097950711174 -0.2707950072108   -0.07001483699938 -0.260507452595   
2.612462558911 0.09965460050625 -0.2108610468911   0.1115517746641 -0.2174567264155   -0.009293109158673 -0.2576071615443   -0.06277738137706 -0.2502679362729   
2.821459563624 0.09184732974136 -0.2030513544814   0.1029441355574 -0.2084950959827   -0.009318406584773 -0.2455182058933   -0.05662210147506 -0.2404065629777   
3.030456568336 0.08492747538411 -0.1957542560776   0.09539759329553 -0.2003214647879   -0.009233679933965 -0.234427392685   -0.05135257089996 -0.230998457539   
3.239453573049 0.07877103433711 -0.188925834459   0.08872226115889 -0.1928231489813   -0.009079202461188 -0.2242337134123   -0.04681206972147 -0.2220825729515   
3.448450577762 0.07327096890583 -0.1825312587141   0.08277466672904 -0.1859086426902   -0.008882136586115 -0.214842512146   -0.04287475712756 -0.2136721266467   
3.657447582475 0.06833531208838 -0.176539750476   0.07744354652076 -0.1795037401107   -0.008660741104861 -0.2061684578029   -0.03943910995137 -0.2057620012369   
3.866444587188 0.06388573315273 -0.1709221610444   0.0726404863448 -0.1735479077086   -0.008427183063088 -0.1981362706862   -0.0364229265253 -0.1983345607067   
4.075441591901 0.05985609973235 -0.1656501392905   0.06829372531028 -0.1679912330487   -0.008189453815388 -0.1906802292324   -0.0337594397816 -0.1913643074675   
4.284438596613 0.05619095882517 -0.1606961260641   0.06434400375759 -0.1627920084118   -0.007952691371589 -0.1837431295888   -0.03139424723725 -0.1848215033433   
4.493435601326 0.05284399896452 -0.1560336820725   0.06074172413442 -0.1579148864624   -0.007720098569092 -0.1772750947315   -0.02928286508082 -0.1786748441239   
4.702432606039 0.04977658008166 -0.1516378704577   0.05744495543123 -0.1533295036164   -0.007493580838649 -0.1712324401564   -0.02738877226507 -0.1728933110808   
4.911429610752 0.0469563976239 -0.1474855606908   0.05441798377564 -0.1490094641432   -0.007274187247765 -0.1655766851596   -0.02568184563867 -0.1674473507975   
5.120426615465 0.04435631753169 -0.1435556083152   0.05163022249651 -0.1449315919709   -0.007062412940155 -0.1602737321126   -0.02413710937244 -0.1623095402808   
5.329423620178 0.04195339273102 -0.1398289121863   0.04905536504643 -0.1410753759598   -0.006858404092653 -0.1552932028695   -0.02273373731244 -0.1574548813675   
5.538420624891 0.0397280538141 -0.136288371985   0.04667070782835 -0.1374225525573   -0.006662094688386 -0.1506079080112   -0.02145425838071 -0.1528608452343   
