0.1044985023564 12.25935867836 -0.0367299263195   12.08229314442 -0.03762046224551   14.27839184449 -0.02124236216603   14.51706790459 -0.02304663009964   
0.3134955070693 12.25376805572 -0.09647506985264   12.06782057126 -0.1030558944684   14.27756164124 -0.05805619524532   14.52479921156 -0.06479465002307   
0.5224925117821 12.24631212524 -0.1478963917367   12.04710051836 -0.1585945542167   14.27730735912 -0.08946769208673   14.53641012842 -0.1000466785608   
0.731489516495 12.23443377673 -0.1935444265758   12.02295231889 -0.2066866062719   14.27686755424 -0.116675374642   14.54913629284 -0.129801665216   
0.9404865212078 12.22112666304 -0.2310291613486   11.99520090771 -0.2472185642034   14.27611931983 -0.1401819561378   14.56125364409 -0.1524319990397   
1.149483525921 12.20661914297 -0.2657373194718   11.9700774463 -0.2793972923554   14.2749529958 -0.1609040607525   14.57154358861 -0.1746099003789   
1.358480530634 12.19134491467 -0.2964715159872   11.94599224378 -0.3089307079928   14.27337971524 -0.1789066808063   14.58165449184 -0.1930675447125   
1.567477535346 12.17565717518 -0.3230485878339   11.9211143556 -0.3367431719223   14.27173789144 -0.1946714393739   14.5915028803 -0.2080878037147   
1.776474540059 12.15976198036 -0.3461768375633   11.89508689269 -0.361628408229   14.27018031055 -0.2087148644745   14.60050120046 -0.2210441467533   
1.985471544772 12.14375667317 -0.3665689008057   11.86854343184 -0.3827067996872   14.26864652029 -0.2213764582097   14.60845606385 -0.2328394271017   
2.194468549485 12.1276920343 -0.3846594929642   11.84236051851 -0.3999687771911   14.26700717147 -0.2328288362238   14.61556388506 -0.2437776399866   
2.403465554198 12.11161875726 -0.400659855648   11.8172124966 -0.413975839823   14.26516932326 -0.2431518733637   14.62215189047 -0.2538347837991   
2.612462558911 12.09560668969 -0.414678113833   11.79343932 -0.4254620270218   14.26311024573 -0.2523942877968   14.62849092337 -0.2628953384929   
2.821459563624 12.07974379725 -0.426804812898   11.77109327851 -0.4350815605783   14.26086676639 -0.2606066658518   14.6347288466 -0.2708752754054   
3.030456568336 12.06412559343 -0.4371520316605   11.75004664465 -0.4433108248915   14.25850902938 -0.2678523174353   14.64090110933 -0.2777608835284   
3.239453573049 12.04884298002 -0.4458610500737   11.73009407994 -0.4504469756717   14.25611558296 -0.2742060190411   14.64697113742 -0.2836039668297   
3.448450577762 12.03397275275 -0.4530945838603   11.71102499044 -0.4566490703442   14.25375632939 -0.2797482276417   14.65287181563 -0.2885009704435   
3.657447582475 12.01957223755 -0.4590242430252   11.69266388016 -0.4619879325864   14.25148389164 -0.2845590538649   14.65853599796 -0.2925704849739   
3.866444587188 12.0056778496 -0.463818809178   11.67488592822 -0.466488658153   14.24933144235 -0.2887138098851   14.66391388527 -0.2959351481904   
4.075441591901 11.99230658279 -0.4676355789233   11.65761672655 -0.4701607156767   14.24731453338 -0.2922804996391   14.66897959004 -0.2987094737201   
4.284438596613 11.97945924958 -0.4706151635446   11.64082368305 -0.4730161458776   14.24543485234 -0.2953189447256   14.6737304802 -0.300993082884   
4.493435601326 11.96712443879 -0.47287926161   11.62450434408 -0.4750784830575   14.2436844737 -0.2978810297791   14.67818261463 -0.302868078305   
4.702432606039 11.9552824425 -0.4745306235226   11.6086748307 -0.4763853602811   14.24204976575 -0.3000115776621   14.68236473985 -0.3043992130559   
4.911429610752 11.94390869824 -0.4756544276542   11.59336003472 -0.4769873308254   14.24051455793 -0.3017494803246   14.68631241922 -0.3056357054924   
5.120426615465 11.93297653683 -0.4763204202322   11.57858619051 -0.4769447882268   14.23906246132 -0.3031288394024   14.69006312731 -0.3066138342136   
5.329423620178 11.92245919737 -0.4765853424092   11.56437582555 -0.4763242475536   14.23767839859 -0.3041799791144   14.69365262133 -0.3073597252054   
5.538420624891 11.91233117437 -0.47649532853   11.55074477587 -0.4751947522203   14.23634947681 -0.3049302719768   14.69711257951 -0.3078919720379   
5.747417629603 11.90256901223 -0.476088090104   11.53770082867 -0.4736248092376   14.23506535956 -0.3054047683029   14.70046932749 -0.3082239010465   
5.956414634316 11.89315167637 -0.4753947957204   11.52524354467 -0.4716800141011   14.23381828675 -0.3056266485438   14.70374340866 -0.3083654096637   
6.165411639029 11.88406062271 -0.4744416212294   11.51336486238 -0.4694213773341   14.23260286849 -0.3056175303753   14.70694975194 -0.3083243789525   
6.374408643742 11.87527966895 -0.4732509840388   11.50205016151 -0.4669042826483   14.23141575224 -0.3053976655062   14.71009822102 -0.3081077018592   
6.583405648455 11.86679474956 -0.4718424960727   11.49127954143 -0.4641779687162   14.23025523636 -0.3049860584484   14.71319437185 -0.30772198705   
6.792402653168 11.85859361499 -0.4702336790655   11.48102914202 -0.4612854174025   14.22912088 -0.3044005344582   14.71624029017 -0.3071740028955   
7.001399657881 11.85066551747 -0.4684404866782   11.4712723941 -0.4582635376746   14.22801314119 -0.3036577777032   14.7192354202 -0.3064709225868   
7.210396662593 11.84300091105 -0.466477674863   11.46198113283 -0.4551435493749   14.22693306082 -0.3027733550361   14.72217732813 -0.3056204238872   
7.419393667306 11.83559118186 -0.4643590564509   11.4531265418 -0.4519514886572   14.22588200008 -0.3017617357532   14.72506236917 -0.3046306879666   
