  R1   R2   R3      I1   I2   I3      A1   A2           dist.               Jij
   0    0    0       0    0    0       1    1      0.00000000000000  86.96334932384818
   0    0    1       0    0    1       1    1      2.48901998513811   2.73987743313641
   0    0   -1       0    0    9       1    1      2.48901998513811   2.73987743313641
   0    1    0       0    1    0       1    1      2.48901998513811   2.73986712258891
   0    1   -1       0    1    9       1    1      2.48901998513811   2.73985547257669
   0   -1    0       0    9    0       1    1      2.48901998513811   2.73986712258891
   0   -1    1       0    9    1       1    1      2.48901998513811   2.73985547257669
   1    0    0       1    0    0       1    1      2.48901998513811   2.73985187350296
   1    0   -1       1    0    9       1    1      2.48901998513811   2.73986523023935
   1   -1    0       1    9    0       1    1      2.48901998513811   2.73987932444194
  -1    0    0       9    0    0       1    1      2.48901998513811   2.73985187350296
  -1    0    1       9    0    1       1    1      2.48901998513811   2.73986523023935
  -1    1    0       9    1    0       1    1      2.48901998513811   2.73987932444194
   1    1   -1       1    1    9       1    1      3.52000582000000  -0.05296108013791
   1   -1    1       1    9    1       1    1      3.52000582000000  -0.05286019715191
   1   -1   -1       1    9    9       1    1      3.52000582000000  -0.05294652368665
  -1    1    1       9    1    1       1    1      3.52000582000000  -0.05294652368665
  -1    1   -1       9    1    9       1    1      3.52000582000000  -0.05286019715191
  -1   -1    1       9    9    1       1    1      3.52000582000000  -0.05296108013791
   0    1    1       0    1    1       1    1      4.31110907531355   0.28779458820566
   0    1   -2       0    1    8       1    1      4.31110907531355   0.28779078869020
   0    2   -1       0    2    9       1    1      4.31110907531355   0.28778030993776
   0   -2    1       0    8    1       1    1      4.31110907531355   0.28778030993776
   0   -1    2       0    9    2       1    1      4.31110907531355   0.28779078869020
   0   -1   -1       0    9    9       1    1      4.31110907531355   0.28779458820566
   1    0    1       1    0    1       1    1      4.31110907531355   0.28780413977553
   1    0   -2       1    0    8       1    1      4.31110907531355   0.28779994692393
   1    1    0       1    1    0       1    1      4.31110907531355   0.28779082944817
   1    1   -2       1    1    8       1    1      4.31110907531355   0.28778070803918
   1   -2    0       1    8    0       1    1      4.31110907531355   0.28779554755989
   1   -2    1       1    8    1       1    1      4.31110907531355   0.28779039201954
