0.1044985023564 0.7013096233926 -0.2092191317599   0.7486432967556 -0.1890313845227   -0.05328792535694 -0.8695660457591   0.6314269210457 -0.7230401246837   
0.3134955070693 0.4944945265172 -0.3053649932615   0.5689854189001 -0.3042101324433   0.174048406333 -0.6366341575886   0.5092828495482 -0.6189814608878   
0.5224925117821 0.3818006513235 -0.3111606799336   0.453071982057 -0.3331718902944   0.20640323691 -0.5224176841477   0.4062791858926 -0.5495297040591   
0.731489516495 0.3138184241808 -0.3006240190346   0.3721941157873 -0.3348332636762   0.1991770923126 -0.4543814370748   0.3287572640521 -0.4957585568314   
0.9404865212078 0.2676944567909 -0.2875193387859   0.3135295722159 -0.3260217473094   0.1831846059558 -0.4088199160146   0.2720033009138 -0.4523236923465   
1.149483525921 0.2336264414373 -0.2750582037402   0.2679963415234 -0.3137867178847   0.1658391150694 -0.3752244523178   0.2291080142637 -0.4159629225519   
1.358480530634 0.2068941496702 -0.2635255875167   0.2325110914719 -0.2998823965434   0.1493110841446 -0.3488118513039   0.1960030912582 -0.3848097056433   
1.567477535346 0.185059546272 -0.2528416786118   0.204527016448 -0.2857504023567   0.1342781126906 -0.3269681158061   0.1699251644626 -0.3578859782036   
1.776474540059 0.1667551764204 -0.2429185800895   0.1819268033915 -0.2723004329706   0.1208833811826 -0.3082058759801   0.1489578377893 -0.3344818829984   
1.985471544772 0.1511426244878 -0.2336747026049   0.1632173395526 -0.2598698149057   0.1090567743411 -0.291677769419   0.1317924057066 -0.3139875707746   
2.194468549485 0.1376641071704 -0.2250340835911   0.1474278043724 -0.2484648922652   0.09864794508209 -0.2768868652544   0.117531735275 -0.2958879659802   
2.403465554198 0.1259230514687 -0.2169307096423   0.1339262694454 -0.2379728529493   0.08948650642251 -0.2635201638001   0.1055445167175 -0.2797693831767   
2.612462558911 0.1156229329389 -0.2093108619623   0.1222764909966 -0.2282705870865   0.08140869719599 -0.2513606250488   0.09536987471809 -0.2653097174016   
2.821459563624 0.106533683056 -0.2021321829333   0.1121529666317 -0.2192603300097   0.07426772989573 -0.2402438591211   0.08665937572185 -0.2522594668825   
3.030456568336 0.09847193649127 -0.1953610136466   0.103297622586 -0.2108710399464   0.06793634011517 -0.2300376541311   0.07914256507192 -0.2404224847577   
3.239453573049 0.09128867499014 -0.1889695256969   0.09549944028737 -0.2030494836095   0.06230587957374 -0.2206321933383   0.07260600384102 -0.2296406194089   
3.448450577762 0.08486106472204 -0.1829334308385   0.08858462940393 -0.1957515618054   0.05728411930359 -0.2119349190901   0.06687972268116 -0.2197829289491   
3.657447582475 0.07908679921514 -0.1772304662964   0.08241084018171 -0.1889368736008   0.05279278662678 -0.2038673213464   0.06182776538888 -0.2107386388248   
3.866444587188 0.07388001037256 -0.1718395547051   0.07686260608234 -0.1825663303616   0.04876527318705 -0.1963625451694   0.05734111690543 -0.2024126831014   
4.075441591901 0.06916820360585 -0.1667404414616   0.07184710110708 -0.1766017374965   0.04514466352866 -0.1893634208   0.05333216853399 -0.194722844072   
4.284438596613 0.06488988978202 -0.161913619514   0.06729009567174 -0.1710063207321   0.04188210205626 -0.1828207940211   0.04973029106023 -0.1875978035986   
4.493435601326 0.06099271057709 -0.1573403968282   0.06313223954928 -0.1657455041082   0.03893546324365 -0.1766921206983   0.04647827615175 -0.180975685395   
4.702432606039 0.05743192671356 -0.1530030114367   0.05932580909996 -0.160787567312   0.03626827448907 -0.1709403051308   0.04352948806303 -0.174802857296   
4.911429610752 0.05416918241324 -0.1488847396478   0.05583199088088 -0.1561040373158   0.03384884201373 -0.1655327575024   0.04084560322835 -0.1690328811243   
5.120426615465 0.05117148623864 -0.1449699716522   0.05261870494299 -0.1516698025348   0.03164953722694 -0.1604406399341   0.03839483361394 -0.163625563832   
5.329423620178 0.04841036534334 -0.1412442467697   0.0496589223265 -0.1474630012488   0.02964620927433 -0.1556382684736   0.03615054285037 -0.1585460958496   
5.538420624891 0.04586116101437 -0.1376942506211   0.04692940513421 -0.1434647559994   0.02781769709661 -0.1511026398214   0.0340901763212 -0.1537642753196   
5.747417629603 0.04350244060911 -0.1343077812073   0.04440978920164 -0.1396588222514   0.02614542054899 -0.1468130553372   0.03219443833533 -0.1492538195965   
5.956414634316 0.0413155060564 -0.1310736923051   0.04208193259474 -0.1360312060509   0.02461303502346 -0.1427508195658   0.03044666104441 -0.1449917637644   
6.165411639029 0.03928398276102 -0.1279818222117   0.03992946257966 -0.132569789426   0.02320613767978 -0.1388989952338   0.02883232034896 -0.14095794306   
6.374408643742 0.03739347556778 -0.1250229146466   0.03793746555636 -0.1292639877242   0.02191201613004 -0.1352422008913   0.02733866334716 -0.1371345534671   
6.583405648455 0.03563128066669 -0.1221885371241   0.03609227639982 -0.1261044515139   0.02071943244106 -0.1317664408752   0.02595441977307 -0.1335057829346   
6.792402653168 0.03398614414326 -0.1194710006545   0.03438133439538 -0.1230828173311   0.01961843681019 -0.1284589600463   0.02466957633839 -0.1300575047379   
7.001399657881 0.03244805938208 -0.1168632833746   0.03279308197445 -0.1201915060698   0.01860020637723 -0.1253081178437   0.02347519806559 -0.1267770243127   
7.210396662593 0.03100809680495 -0.1143589596922   0.03131688962948 -0.1174235645869   0.0176569054725 -0.1223032777487   0.02236328474287 -0.1236528712481   
7.419393667306 0.02965826050071 -0.111952135762   0.02994299587359 -0.1147725445189   0.0167815642467 -0.1194347093518   0.02132665374212 -0.1206746288234   
7.628390672019 0.0283913672027 -0.109637391551   0.02866245512738 -0.1122324118527   0.01596797311791 -0.1166935009859   0.02035884277222 -0.1178327943559   
7.837387676732 0.02720094384243 -0.1074097293753   0.02746708927879 -0.1097974810329   0.01521059087558 -0.1140714814256   0.01945402789053 -0.1151186645635   
8.046384681445 0.02608114054462 -0.1052645285481   0.0263494406089 -0.1074623680274   0.01450446459706 -0.1115611495058   0.01860695336993 -0.112524241069   
8.255381686158 0.0250266564739 -0.1031975056386   0.0253027250521 -0.1052219575791   0.01384515980045 -0.1091556107596   0.01781287095217 -0.1100421520186   
8.464378690871 0.02403267638975 -0.101204679781   0.02432078553802 -0.1030713807254   0.01322869947516 -0.1068485203372   0.01706748668062 -0.1076655865393   
8.673375695583 0.02309481614168 -0.0992823424517   0.02339804561327 -0.1010059994697   0.01265151081892 -0.1046340315768   0.01636691398703 -0.105388239406   
8.882372700296 0.0222090756447 -0.09742703115961   0.02252946374733 -0.0990213962053   0.01211037866708 -0.1025067496831   0.01570763203727 -0.1032042638312   
9.091369705009 0.0213717981361 -0.09563550652523   0.02171048880353 -0.09711336610039   0.01160240473961 -0.1004616900195   0.01508644858566 -0.101108230734   
9.300366709722 0.02057963471903 -0.09390473227834   0.02093701712842 -0.09527791115032   0.01112497194394 -0.09849424057369   0.01450046674762 -0.09909509320926   
9.509363714435 0.01982951337438 -0.09223185775443   0.0202053516477 -0.09351123499938   0.01067571307499 -0.09660012818955   0.0139470552213 -0.09716015519918   
9.718360719148 0.0191186117663 -0.09061420252379   0.01951216326787 -0.09180973794015   0.01025248334336 -0.09477538819412   0.01342382157358 -0.09529904360189   
9.927357723861 0.01844433327772 -0.08904924283699   0.01885445478603 -0.0901700117277   0.009853336233393 -0.09301633708071   0.01292858826255 -0.09350768322254   
10.13635472857 0.01780428581264 -0.08753459961652   0.01822952742384 -0.08858883401331   0.009476502263746 -0.09131954793644   0.01245937111647 -0.09178227411107   
10.34535173329 0.01719626297804 -0.08606802776539   0.01763495002679 -0.08706316231982   0.00912037027875 -0.08968182833146   0.01201436002408 -0.09011927093277   
10.554348738 0.01661822731782 -0.08464740659945   0.01706853089799 -0.08559012756004   0.00878347094403 -0.08810020041256   0.01159190161152 -0.08851536409695   
10.76334574271 0.01606829533269 -0.08327073124113   0.0165282921987 -0.08416702714961   0.008464462171233 -0.0865718829689   0.01119048371436 -0.08696746242769   
10.97234274742 0.0155447240517 -0.08193610483915   0.0160124467961 -0.08279131779467   0.008162116224285 -0.08509427525993   0.01080872146009 -0.08547267720482   
11.18133975214 0.01504589896547 -0.08064173150071   0.01551937742382 -0.08146060804762   0.007875308299028 -0.08366494241749   0.01044534480226 -0.08402830743621   
11.39033675685 0.01457032315474 -0.07938590984194   0.01504761799797 -0.08017265072767   0.00760300639183 -0.08228160225344   0.0100991873571 -0.08263182624696   
11.59933376156 0.01411660747461 -0.07816702707758   0.01459583692548 -0.07892533529819   0.007344262298706 -0.08094211332212   0.009769176409532 -0.081280868289   
11.80833076628 0.01368346167382 -0.07698355358432   0.01416282223804 -0.07771668028486   0.007098203606649 -0.07964446410361   0.009454323966902 -0.07997321808861   
12.01732777099 0.01326968634377 -0.07583403788243   0.01374746838542 -0.07654482580765   0.006864026555628 -0.07838676318817   0.009153718749108 -0.07870679925927   
12.2263247757 0.01287416560935 -0.07471710198957   0.01334876453161 -0.07540802628803   0.0066409896687 -0.07716723035599   0.008866519017959 -0.07747966451538   
12.43532178041 0.01249586048151 -0.07363143710766   0.01296578420091 -0.07430464338127   0.006428408057296 -0.07598418845794   0.008591946154469 -0.0762899864283   
12.64431878513 0.01213380280391 -0.07257579960952   0.01259767613285 -0.07323313917238   0.006225648322791 -0.07483605601393   0.008329278903999 -0.07513604887144   
12.85331578984 0.01178708973275 -0.07154900729712   0.0122436562145 -0.07219206966421   0.006032123984787 -0.07372134045478   0.008077848216783 -0.07401623910477   
