0.1044985023564 17.0930562421 -0.02594549503577   17.14989464023 -0.02577328851817   17.77688796289 -0.01554034830763   17.64197215908 -0.01803162962268   
0.3134955070693 17.08266637875 -0.07269650312252   17.13892263943 -0.07156265609392   17.7792029828 -0.03889732519094   17.63828794014 -0.04642605048168   
0.5224925117821 17.0677557421 -0.1119449610991   17.12403806058 -0.1102718923882   17.7798691284 -0.05969944476066   17.63311464675 -0.06992320887204   
0.731489516495 17.05121216831 -0.1460621864638   17.10734730416 -0.1431527236816   17.77919088543 -0.07791644544161   17.62714382718 -0.09002473820371   
0.9404865212078 17.03357854548 -0.175343361267   17.09145584264 -0.173225786963   17.78013533691 -0.0935763446974   17.62133405892 -0.1080878258084   
1.149483525921 17.01548612359 -0.2012388926213   17.07254542384 -0.2008039466607   17.7787254991 -0.1079497350662   17.61527467525 -0.1244713524177   
1.358480530634 16.9974488408 -0.2236121769277   17.05231926114 -0.2243052287157   17.77682770539 -0.1209766147127   17.60784351022 -0.1389628139542   
1.567477535346 16.97964573635 -0.2431369017553   17.0320627934 -0.2440336551422   17.77490912176 -0.1323996334275   17.59939476962 -0.1518156873972   
1.776474540059 16.96209227598 -0.2605246476537   17.01220913789 -0.2609031180186   17.7726704784 -0.1422854016866   17.5906614867 -0.1633035760067   
1.985471544772 16.94475968121 -0.2761562174187   16.99280263988 -0.2755641850769   17.76994231187 -0.1509205257533   17.58209439873 -0.1735745914323   
2.194468549485 16.92763347443 -0.2901603098812   16.97381484555 -0.2883078113072   17.76681919236 -0.1586052919226   17.57381434905 -0.1826990006321   
2.403465554198 16.91073127449 -0.3025733176897   16.95526578825 -0.299239417669   17.76350876872 -0.1655509151421   17.56576650484 -0.1907308585539   
2.612462558911 16.89409815218 -0.3134393263601   16.93723456681 -0.3084377712172   17.76019397934 -0.1718703389756   17.55785735578 -0.1977367493334   
2.821459563624 16.87779348703 -0.3228439847182   16.9198284701 -0.3160304116836   17.756975727 -0.1776090975595   17.55002403372 -0.2037991991915   
3.030456568336 16.8618777389 -0.3309105655315   16.90314788704 -0.3222042091888   17.75387462118 -0.1827804319039   17.5422511404 -0.2090097045885   
3.239453573049 16.84640289371 -0.3377825906787   16.8872618058 -0.3271839207677   17.75085828613 -0.1873904203895   17.53456097956 -0.2134605947043   
3.448450577762 16.83140735981 -0.3436063968845   16.87219691715 -0.3312025791427   17.74787170442 -0.1914512711608   17.52699590895 -0.2172392292898   
3.657447582475 16.8169145917 -0.3485187463253   16.85793806293 -0.3344762591243   17.74486028989 -0.1949857197774   17.51960250946 -0.2204249491804   
3.866444587188 16.80293422461 -0.3526401215974   16.84443599404 -0.3371877979186   17.74178330435 -0.198026243639   17.51242099399 -0.2230880887361   
4.075441591901 16.78946455307 -0.3560725267707   16.83161846439 -0.3394795591772   17.738619049 -0.2006120160935   17.5054799303 -0.2252902219797   
4.284438596613 16.77649546178 -0.3589002163948   16.81940161239 -0.3414533000512   17.73536446061 -0.2027854320895   17.49879500353 -0.2270850074103   
