
 ===================================================================================
|Iter. [ n ]|    latt_mu|  latt1_occ|    imp1_mu|   imp1_occ|     imp1_N|     imp1_S|
 ===================================================================================
|Iter. [  0]|   1.37831 |   8.32470 |   1.37831 |   8.56473 |   0.10014 |   1.90775 |
|Iter. [  1]|   1.22272 |   8.33194 |   1.22272 |   8.51206 |   0.10406 |   3.13059 |
|Iter. [  2]|   1.13334 |   8.34197 |   1.13334 |   8.47934 |   0.10529 |   3.71611 |
|Iter. [  3]|   1.07454 |   8.35173 |   1.07454 |   8.45800 |   0.10604 |   3.96557 |
|Iter. [  4]|   1.03115 |   8.35970 |   1.03115 |   8.44126 |   0.10677 |   4.17444 |
|Iter. [  5]|   0.99874 |   8.36601 |   0.99874 |   8.42800 |   0.10705 |   4.34259 |
|Iter. [  6]|   0.97362 |   8.37103 |   0.97362 |   8.41903 |   0.10769 |   4.43827 |
|Iter. [  7]|   0.95499 |   8.37481 |   0.95499 |   8.41179 |   0.10761 |   4.51867 |
|Iter. [  8]|   0.94051 |   8.37775 |   0.94051 |   8.40634 |   0.10791 |   4.58609 |
|Iter. [  9]|   0.92988 |   8.38001 |   0.92988 |   8.40200 |   0.10808 |   4.63395 |
|Iter. [ 10]|   0.92151 |   8.38174 |   0.92151 |   8.39849 |   0.10796 |   4.67859 |
|Iter. [ 11]|   0.91516 |   8.38310 |   0.91516 |   8.39621 |   0.10806 |   4.70811 |
|Iter. [ 12]|   0.91059 |   8.38411 |   0.91059 |   8.39372 |   0.10857 |   4.74431 |
|Iter. [ 13]|   0.90640 |   8.38501 |   0.90640 |   8.39249 |   0.10821 |   4.74664 |
|Iter. [ 14]|   0.90321 |   8.38569 |   0.90321 |   8.39147 |   0.10820 |   4.75760 |
|Iter. [ 15]|   0.90132 |   8.38613 |   0.90132 |   8.39061 |   0.10861 |   4.77331 |
|Iter. [ 16]|   0.89977 |   8.38649 |   0.89977 |   8.38948 |   0.10856 |   4.79552 |
|Iter. [ 17]|   0.89833 |   8.38682 |   0.89833 |   8.38926 |   0.10787 |   4.78949 |
|Iter. [ 18]|   0.89688 |   8.38705 |   0.89688 |   8.38895 |   0.10842 |   4.78405 |
|Iter. [ 19]|   0.89562 |   8.38722 |   0.89562 |   8.38861 |   0.10814 |   4.80357 |
|Iter. [ 20]|   0.89582 |   8.38728 |   0.89582 |   8.38835 |   0.10843 |   4.80383 |
|Iter. [ 21]|   0.89550 |   8.38738 |   0.89550 |   8.38854 |   0.10836 |   4.79520 |
|Iter. [ 22]|   0.89527 |   8.38745 |   0.89527 |   8.38861 |   0.10869 |   4.80224 |
|Iter. [ 23]|   0.89551 |   8.38745 |   0.89551 |   8.38853 |   0.10839 |   4.78226 |
|Iter. [ 24]|   0.89508 |   8.38747 |   0.89508 |   8.38764 |   0.10869 |   4.81640 |
|Iter. [ 25]|   0.89486 |   8.38754 |   0.89486 |   8.38801 |   0.10854 |   4.79442 |
|Iter. [ 26]|   0.89410 |   8.38762 |   0.89410 |   8.38750 |   0.10855 |   4.82740 |
|Iter. [ 27]|   0.89397 |   8.38768 |   0.89397 |   8.38740 |   0.10827 |   4.82840 |
|Iter. [ 28]|   0.89456 |   8.38764 |   0.89456 |   8.38796 |   0.10827 |   4.80071 |
|Iter. [ 29]|   0.89462 |   8.38761 |   0.89462 |   8.38820 |   0.10835 |   4.79183 |
|Iter. [ 30]|   0.89471 |   8.38756 |   0.89471 |   8.38779 |   0.10858 |   4.81527 |
|Iter. [ 31]|   0.89417 |   8.38763 |   0.89417 |   8.38757 |   0.10826 |   4.81574 |
|Iter. [ 32]|   0.89413 |   8.38768 |   0.89413 |   8.38779 |   0.10788 |   4.80006 |
|Iter. [ 33]|   0.89404 |   8.38770 |   0.89404 |   8.38743 |   0.10831 |   4.81309 |
|Iter. [ 34]|   0.89377 |   8.38776 |   0.89377 |   8.38751 |   0.10858 |   4.80895 |
|Iter. [ 35]|   0.89373 |   8.38777 |   0.89373 |   8.38765 |   0.10841 |   4.80781 |
|Iter. [ 36]|   0.89368 |   8.38774 |   0.89368 |   8.38731 |   0.10842 |   4.80731 |
|Iter. [ 37]|   0.89329 |   8.38782 |   0.89329 |   8.38737 |   0.10806 |   4.80432 |
|Iter. [ 38]|   0.89334 |   8.38780 |   0.89334 |   8.38732 |   0.10816 |   4.81749 |
|Iter. [ 39]|   0.89354 |   8.38780 |   0.89354 |   8.38727 |   0.10867 |   4.81687 |
|Iter. [ 40]|   0.89358 |   8.38779 |   0.89358 |   8.38747 |   0.10784 |   4.80883 |
|Iter. [ 41]|   0.89340 |   8.38782 |   0.89340 |   8.38728 |   0.10828 |   4.81593 |
|Iter. [ 42]|   0.89360 |   8.38780 |   0.89360 |   8.38784 |   0.10830 |   4.80259 |
|Iter. [ 43]|   0.89381 |   8.38776 |   0.89381 |   8.38738 |   0.10851 |   4.81043 |
|Iter. [ 44]|   0.89362 |   8.38777 |   0.89362 |   8.38753 |   0.10827 |   4.81772 |
|Iter. [ 45]|   0.89373 |   8.38780 |   0.89373 |   8.38732 |   0.10845 |   4.81819 |
|Iter. [ 46]|   0.89353 |   8.38782 |   0.89353 |   8.38746 |   0.10847 |   4.81541 |
|Iter. [ 47]|   0.89397 |   8.38773 |   0.89397 |   8.38763 |   0.10811 |   4.80610 |
|Iter. [ 48]|   0.89346 |   8.38778 |   0.89346 |   8.38729 |   0.10860 |   4.81895 |
|Iter. [ 49]|   0.89343 |   8.38779 |   0.89343 |   8.38803 |   0.10823 |   4.80321 |
|Iter. [ 50]|   0.89391 |   8.38770 |   0.89391 |
