
 ===================================================================================
|Iter. [ n ]|    latt_mu|  latt1_occ|    imp1_mu|   imp1_occ|     imp1_N|     imp1_S|
 ===================================================================================
|Iter. [  0]|   0.00000 |   8.28526 |   0.00000 |   8.04678 |   0.01682 |  24.82330 |
|Iter. [  1]|   0.00000 |   8.11739 |   0.00000 |   8.06402 |   0.01205 |  30.08590 |
|Iter. [  2]|   0.00000 |   8.12003 |   0.00000 |   8.07566 |   0.01036 |  31.23260 |
|Iter. [  3]|   0.00000 |   8.10791 |   0.00000 |   8.07896 |   0.00986 |  31.54710 |
|Iter. [  4]|   0.00000 |   8.09763 |   0.00000 |   8.08040 |   0.00962 |  31.66260 |
|Iter. [  5]|   0.00000 |   8.09025 |   0.00000 |   8.08101 |   0.00958 |  31.71280 |
|Iter. [  6]|   0.00000 |   8.08627 |   0.00000 |   8.08107 |   0.00949 |  31.75120 |
|Iter. [  7]|   0.00000 |   8.08575 |   0.00000 |   8.08132 |   0.00945 |  31.75800 |
|Iter. [  8]|   0.00000 |   8.08440 |   0.00000 |   8.08166 |   0.00951 |  31.76190 |
|Iter. [  9]|   0.00000 |   8.08289 |   0.00000 |   8.08144 |   0.00945 |  31.77160 |
|Iter. [ 10]|   0.00000 |   8.08323 |   0.00000 |   8.08152 |   0.00945 |  31.76740 |
|Iter. [ 11]|   0.00000 |   8.08345 |   0.00000 |   8.08159 |   0.00944 |  31.76990 |
|Iter. [ 12]|   0.00000 |   8.08310 |   0.00000 |   8.08143 |   0.00943 |  31.77440 |
|Iter. [ 13]|   0.00000 |   8.08408 |   0.00000 |   8.08165 |   0.00946 |  31.77720 |
|Iter. [ 14]|   0.00000 |   8.08285 |   0.00000 |   8.08162 |   0.00944 |  31.76560 |
|Iter. [ 15]|   0.00000 |   8.08325 |   0.00000 |   8.08146 |   0.00944 |  31.77920 |
|Iter. [ 16]|   0.00000 |   8.08340 |   0.00000 |   8.08161 |   0.00944 |  31.76970 |
|Iter. [ 17]|   0.00000 |   8.08241 |   0.00000 |   8.08156 |   0.00945 |  31.77720 |
|Iter. [ 18]|   0.00000 |   8.08277 |   0.00000 |   8.08163 |   0.00946 |  31.77400 |
|Iter. [ 19]|   0.00000 |   8.08602 |   0.00000 |   8.08148 |   0.00943 |  31.77610 |
|Iter. [ 20]|   0.00000 |   8.08551 |   0.00000 |   8.08157 |   0.00943 |  31.77990 |
|Iter. [ 21]|   0.00000 |   8.08420 |   0.00000 |   8.08157 |   0.00947 |  31.77910 |
|Iter. [ 22]|   0.00000 |   8.08319 |   0.00000 |   8.08156 |   0.00946 |  31.77890 |
|Iter. [ 23]|   0.00000 |   8.08289 |   0.00000 |   8.08169 |   0.00945 |  31.77100 |
|Iter. [ 24]|   0.00000 |   8.08259 |   0.00000 |   8.08148 |   0.00943 |  31.77900 |
|Iter. [ 25]|   0.00000 |   8.08345 |   0.00000 |   8.08154 |   0.00945 |  31.77990 |
|Iter. [ 26]|   0.00000 |   8.08234 |   0.00000 |   8.08143 |   0.00939 |  31.77790 |
|Iter. [ 27]|   0.00000 |   8.08336 |   0.00000 |   8.08162 |   0.00947 |  31.77250 |
|Iter. [ 28]|   0.00000 |   8.08286 |   0.00000 |   8.08171 |   0.00945 |  31.76740 |
|Iter. [ 29]|   0.00000 |   8.08215 |   0.00000 |   8.08160 |   0.00943 |  31.77420 |
|Iter. [ 30]|   0.00000 |   8.08270 |   0.00000 |   8.08151 |   0.00943 |  31.77530 |
|Iter. [ 31]|   0.00000 |   8.08283 |   0.00000 |   8.08146 |   0.00947 |  31.77260 |
|Iter. [ 32]|   0.00000 |   8.08360 |   0.00000 |   8.08158 |   0.00945 |  31.77810 |
|Iter. [ 33]|   0.00000 |   8.08438 |   0.00000 |   8.08157 |   0.00947 |  31.77190 |
|Iter. [ 34]|   0.00000 |   8.08411 |   0.00000 |   8.08149 |   0.00946 |  31.77490 |
|Iter. [ 35]|   0.00000 |   8.08387 |   0.00000 |   8.08163 |   0.00944 |  31.77340 |
|Iter. [ 36]|   0.00000 |   8.08317 |   0.00000 |   8.08146 |   0.00941 |  31.78110 |
|Iter. [ 37]|   0.00000 |   8.08311 |   0.00000 |   8.08162 |   0.00943 |  31.77660 |
|Iter. [ 38]|   0.00000 |   8.08233 |   0.00000 |   8.08145 |   0.00942 |  31.77340 |
|Iter. [ 39]|   0.00000 |   8.08366 |   0.00000 |   8.08160 |   0.00943 |  31.77120 |
|Iter. [ 40]|   0.00000 |   8.08364 |   0.00000 |   8.08152 |   0.00948 |  31.77390 |
|Iter. [ 41]|   0.00000 |   8.08335 |   0.00000 |   8.08157 |   0.00948 |  31.76990 |
|Iter. [ 42]|   0.00000 |   8.08317 |   0.00000 |   8.08153 |   0.00946 |  31.77620 |
|Iter. [ 43]|   0.00000 |   8.08276 |   0.00000 |   8.08161 |   0.00944 |  31.77050 |
|Iter. [ 44]|   0.00000 |   8.08422 |   0.00000 |   8.08152 |   0.00946 |  31.77620 |
|Iter. [ 45]|   0.00000 |   8.08393 |   0.00000 |   8.08141 |   0.00948 |  31.77600 |
|Iter. [ 46]|   0.00000 |   8.08427 |   0.00000 |   8.08169 |   0.00945 |  31.77150 |
|Iter. [ 47]|   0.00000 |   8.08337 |   0.00000 |   8.08162 |   0.00944 |  31.76510 |
|Iter. [ 48]|   0.00000 |   8.08304 |   0.00000 |   8.08160 |   0.00943 |  31.77220 |
|Iter. [ 49]|   0.00000 |   8.08275 |   0.00000 |   8.08154 |   0.00946 |  31.77200 |
|Iter. [ 50]|   0.00000 |   8.08222 |   0.00000 |
