  R1   R2   R3      I1   I2   I3      A1   A2           dist.               Jij
   0    0    0       0    0    0       1    1      0.00000000000000 3025.12822128858397
   0    1   -1       0    1    5       1    1      2.96578967417759  -0.18205977183939
   0   -1    1       0    5    1       1    1      2.96578967417759  -0.18205977183939
   1    0   -1       1    0    5       1    1      2.96578967417759  -0.18205993709980
  -1    0    1       5    0    1       1    1      2.96578967417759  -0.18205993709980
   1   -1    0       1    5    0       1    1      2.96578968000000  -0.18206149265967
  -1    1    0       5    1    0       1    1      2.96578968000000  -0.18206149265967
   1    1   -2       1    1    4       1    1      5.13689839687716  -0.00293676902609
  -1   -1    2       5    5    2       1    1      5.13689839687716  -0.00293676902609
   0    0    1       0    0    1       1    1      5.13689839734348  -0.00238763217144
   0    0   -1       0    0    5       1    1      5.13689839734348  -0.00238763217144
   0    1    0       0    1    0       1    1      5.13689840282286  -0.00238755458279
   0   -1    0       0    5    0       1    1      5.13689840282286  -0.00238755458279
   1    0    0       1    0    0       1    1      5.13689840282286  -0.00238752978290
  -1    0    0       5    0    0       1    1      5.13689840282286  -0.00238752978290
   1   -2    1       1    4    1       1    1      5.13689840696187  -0.00293647074298
   2   -1   -1       2    5    5       1    1      5.13689840696187  -0.00293652561781
  -2    1    1       4    1    1       1    1      5.13689840696187  -0.00293652561781
  -1    2   -1       5    2    5       1    1      5.13689840696187  -0.00293647074298
   0    2   -2       0    2    4       1    1      5.93157934835518  -0.19648935305467
   0   -2    2       0    4    2       1    1      5.93157934835518  -0.19648935305467
   2    0   -2       2    0    4       1    1      5.93157934835518  -0.19648941001272
  -2    0    2       4    0    2       1    1      5.93157934835518  -0.19648941001272
   1   -1    1       1    5    1       1    1      5.93157934875902  -0.16380626891789
   1   -1   -1       1    5    5       1    1      5.93157934875902  -0.16380632169525
  -1    1    1       5    1    1       1    1      5.93157934875902  -0.16380632169525
  -1    1   -1       5    1    5       1    1      5.93157934875902  -0.16380626891789
  -1   -1    1       5    5    1       1    1      5.93157935242718  -0.16380640576704
   1    1   -1       1    1    5       1    1      5.93157935242718  -0.16380640576704
   2   -2    0       2    4    0       1    1      5.93157936000000  -0.19648821201673
  -2    2    0       4    2    0       1    1      5.93157936000000  -0.19648821201673
   0    1   -2       0    1    4       1    1      6.63170731194108  -0.00531636878336
   0   -1    2       0    5    2       1    1      6.63170731194108  -0.00531636878336
   1    0   -2       1    0    4       1    1      6.63170731194108  -0.00531638441374
  -1    0    2       5    0    2       1    1      6.63170731194108  -0.00531638441374
   0   -2    1       0    4    1       1    1      6.63170732467401  -0.00531731991998
  -2    0    1       4    0    1       1    1      6.63170732467401  -0.00531765498017
   0    2   -1       0    2    5       1    1      6.63170732467401  -0.00531731991998
   2    0   -1       2    0    5       1    1      6.63170732467401  -0.00531765498017
   1   -2    0       1    4    0       1    1      6.63170732563742  -0.00531659438525
   2   -1    0       2    5    0       1    1      6.63170732563742  -0.00531656511889
  -2    1    0       4    1    0       1    1      6.63170732563742  -0.00531656511889
  -1    2    0       5    2    0       1    1      6.63170732563742  -0.00531659438525
   1    2   -3       1    2    3       1    1      7.84674191439586  -0.00145356321818
   2    1   -3       2    1    3       1    1      7.84674191439586  -0.00145355830848
   1   -2    2       1    4    2       1    1      7.84674191771603  -0.00089535278544
   2   -1   -2       2    5    4       1    1      7.84674191771603  -0.00089535704259
  -2    1    2       4    1    2       1    1      7.84674191771603  -0.00089535704259
