
 ===================================================================================
|Iter. [ n ]|    latt_mu|  latt1_occ|    imp1_mu|   imp1_occ|     imp1_N|     imp1_S|
 ===================================================================================
|Iter. [  0]|   0.00000 |   8.39168 |   0.00000 |   8.06216 |   0.01590 |  26.55740 |
|Iter. [  1]|   0.00000 |   8.20465 |   0.00000 |   8.08128 |   0.01247 |  29.76050 |
|Iter. [  2]|   0.00000 |   8.14171 |   0.00000 |   8.08730 |   0.01134 |  30.64090 |
|Iter. [  3]|   0.00000 |   8.11623 |   0.00000 |   8.08932 |   0.01078 |  30.95210 |
|Iter. [  4]|   0.00000 |   8.10410 |   0.00000 |   8.08996 |   0.01064 |  31.08680 |
|Iter. [  5]|   0.00000 |   8.09838 |   0.00000 |   8.09036 |   0.01054 |  31.15190 |
|Iter. [  6]|   0.00000 |   8.09513 |   0.00000 |   8.09049 |   0.01050 |  31.18100 |
|Iter. [  7]|   0.00000 |   8.09317 |   0.00000 |   8.09052 |   0.01042 |  31.21050 |
|Iter. [  8]|   0.00000 |   8.09259 |   0.00000 |   8.09067 |   0.01043 |  31.20640 |
|Iter. [  9]|   0.00000 |   8.09218 |   0.00000 |   8.09079 |   0.01050 |  31.20800 |
|Iter. [ 10]|   0.00000 |   8.09232 |   0.00000 |   8.09084 |   0.01048 |  31.21290 |
|Iter. [ 11]|   0.00000 |   8.09181 |   0.00000 |   8.09069 |   0.01049 |  31.21550 |
|Iter. [ 12]|   0.00000 |   8.09179 |   0.00000 |   8.09095 |   0.01047 |  31.20700 |
|Iter. [ 13]|   0.00000 |   8.09179 |   0.00000 |   8.09096 |   0.01052 |  31.20210 |
|Iter. [ 14]|   0.00000 |   8.09209 |   0.00000 |   8.09087 |   0.01045 |  31.20640 |
|Iter. [ 15]|   0.00000 |   8.09208 |   0.00000 |   8.09082 |   0.01043 |  31.21610 |
|Iter. [ 16]|   0.00000 |   8.09187 |   0.00000 |   8.09080 |   0.01039 |  31.21710 |
|Iter. [ 17]|   0.00000 |   8.09155 |   0.00000 |   8.09071 |   0.01045 |  31.21350 |
|Iter. [ 18]|   0.00000 |   8.09165 |   0.00000 |   8.09088 |   0.01045 |  31.20850 |
|Iter. [ 19]|   0.00000 |   8.09225 |   0.00000 |   8.09077 |   0.01044 |  31.21260 |
|Iter. [ 20]|   0.00000 |   8.09205 |   0.00000 |   8.09070 |   0.01048 |  31.21270 |
|Iter. [ 21]|   0.00000 |   8.09195 |   0.00000 |   8.09075 |   0.01044 |  31.21150 |
|Iter. [ 22]|   0.00000 |   8.09233 |   0.00000 |   8.09058 |   0.01045 |  31.22320 |
|Iter. [ 23]|   0.00000 |   8.09202 |   0.00000 |   8.09076 |   0.01045 |  31.21400 |
|Iter. [ 24]|   0.00000 |   8.09182 |   0.00000 |   8.09084 |   0.01047 |  31.21010 |
|Iter. [ 25]|   0.00000 |   8.09187 |   0.00000 |   8.09078 |   0.01043 |  31.21300 |
|Iter. [ 26]|   0.00000 |   8.09218 |   0.00000 |   8.09103 |   0.01044 |  31.20490 |
|Iter. [ 27]|   0.00000 |   8.09197 |   0.00000 |   8.09079 |   0.01048 |  31.21250 |
|Iter. [ 28]|   0.00000 |   8.09212 |   0.00000 |   8.09065 |   0.01046 |  31.21900 |
|Iter. [ 29]|   0.00000 |   8.09247 |   0.00000 |   8.09078 |   0.01045 |  31.21210 |
|Iter. [ 30]|   0.00000 |   8.09217 |   0.00000 |   8.09070 |   0.01041 |  31.22280 |
|Iter. [ 31]|   0.00000 |   8.09291 |   0.00000 |   8.09098 |   0.01045 |  31.20790 |
|Iter. [ 32]|   0.00000 |   8.09207 |   0.00000 |   8.09076 |   0.01048 |  31.21130 |
|Iter. [ 33]|   0.00000 |   8.09199 |   0.00000 |   8.09077 |   0.01045 |  31.21560 |
|Iter. [ 34]|   0.00000 |   8.09194 |   0.00000 |   8.09094 |   0.01045 |  31.21180 |
|Iter. [ 35]|   0.00000 |   8.09200 |   0.00000 |   8.09071 |   0.01043 |  31.21620 |
|Iter. [ 36]|   0.00000 |   8.09218 |   0.00000 |   8.09085 |   0.01042 |  31.21550 |
|Iter. [ 37]|   0.00000 |   8.08971 |   0.00000 |   8.09063 |   0.01042 |  31.22190 |
|Iter. [ 38]|   0.00000 |   8.08790 |   0.00000 |   8.09081 |   0.01045 |  31.21480 |
|Iter. [ 39]|   0.00000 |   8.08935 |   0.00000 |   8.09084 |   0.01049 |  31.21080 |
|Iter. [ 40]|   0.00000 |   8.09121 |   0.00000 |   8.09075 |   0.01043 |  31.21150 |
|Iter. [ 41]|   0.00000 |   8.09207 |   0.00000 |   8.09073 |   0.01046 |  31.21410 |
|Iter. [ 42]|   0.00000 |   8.09240 |   0.00000 |   8.09075 |   0.01047 |  31.21550 |
|Iter. [ 43]|   0.00000 |   8.09217 |   0.00000 |   8.09086 |   0.01047 |  31.22520 |
|Iter. [ 44]|   0.00000 |   8.09238 |   0.00000 |   8.09063 |   0.01047 |  31.22070 |
|Iter. [ 45]|   0.00000 |   8.09221 |   0.00000 |   8.09071 |   0.01046 |  31.21860 |
|Iter. [ 46]|   0.00000 |   8.09193 |   0.00000 |   8.09083 |   0.01043 |  31.20900 |
|Iter. [ 47]|   0.00000 |   8.09152 |   0.00000 |   8.09055 |   0.01050 |  31.21920 |
|Iter. [ 48]|   0.00000 |   8.09158 |   0.00000 |   8.09075 |   0.01043 |  31.21920 |
|Iter. [ 49]|   0.00000 |   8.09185 |   0.00000 |   8.09068 |   0.01044 |  31.21260 |
|Iter. [ 50]|   0.00000 |   8.09187 |   0.00000 |
