0.08121645260932 0.3565642255175 -0.01339112752616   0.4344496191861 -0.02547087120161   0.5862598880573 -0.04261684243547   -0.2189218657545 -0.007740251506885   
0.243649357828 0.3522370029617 -0.03963350720502   0.4218834477469 -0.07407051512577   0.5590622047496 -0.1211015717977   -0.2186287380413 -0.02292846398451   
0.4060822630466 0.3439369841707 -0.06432642968561   0.3990246736203 -0.1160612459813   0.511696304146 -0.1820959712052   -0.2178489774824 -0.03735005514687   
0.5685151682652 0.3322067247795 -0.08668745870635   0.3681518749948 -0.149890577966   0.4568451658193 -0.2187927031668   -0.2163810497287 -0.05069679656545   
0.7309480734839 0.3180308221617 -0.1060051926288   0.3362770851883 -0.1713039322642   0.4026142043325 -0.2396023890643   -0.2140212728119 -0.06297418797275   
0.8933809787025 0.302063293197 -0.12234853163   0.3026577744799 -0.1868218623312   0.3588021416128 -0.2407287814541   -0.2107517232336 -0.07389024157578   
1.055813883921 0.2850404254892 -0.1354618225922   0.2709978551591 -0.1943228000434   0.3279251055838 -0.2374146599316   -0.2065573581823 -0.08374260139885   
1.21824678914 0.2677669917359 -0.145407431461   0.2437319107185 -0.1951047115009   0.304923972021 -0.2370658733373   -0.2015567338738 -0.09260328612509   
1.380679694358 0.2509005276009 -0.1525430352842   0.22130972619 -0.192059734541   0.2845837297678 -0.2398567295867   -0.1959144999885 -0.1004590160734   
1.543112599577 0.2348745578289 -0.1573506614031   0.2030822922273 -0.1875744899724   0.264172516223 -0.2435173003643   -0.1897892417326 -0.1073222363817   
1.705545504796 0.2199215213071 -0.1603139024259   0.1880770037474 -0.1830002085754   0.2431074365183 -0.2459779086145   -0.1833205188622 -0.1132441345255   
1.867978410014 0.2061276776688 -0.1618586971356   0.175397258457 -0.1788683038976   0.2219324658509 -0.2461358083798   -0.1766294795317 -0.1182967347552   
2.030411315233 0.1934859679717 -0.1623349021462   0.1643590646829 -0.1752429662621   0.2015138797735 -0.2437644861669   -0.1698211861422 -0.1225567403103   
