0.08121645260932 47.50478187089 -0.01871643518728   47.09556713672 -0.02462257861243   48.43558205494 0.006228896188396   53.50700598709 -0.01127573210699   
0.243649357828 47.50043866022 -0.05577069847858   47.0944357155 -0.07448099380357   48.45699382154 0.01326467879698   53.50127565673 -0.03191835163008   
0.4060822630466 47.49453675239 -0.08986106548538   47.09200243175 -0.1256168799637   48.50015192295 0.009134794027733   53.49171724879 -0.04774786469128   
0.5685151682652 47.47302279455 -0.1324420049999   47.08262249091 -0.1813172539466   48.53946992717 -0.05206479618041   53.48519982018 -0.06072357792889   
0.7309480734839 47.47746049419 -0.1389816224941   47.07606481755 -0.2289106531374   48.595116212 -0.05661816045722   53.47203600514 -0.06566782759903   
0.8933809787025 47.45450227459 -0.1866467781587   47.05550902625 -0.2903179686349   48.62395524027 -0.199960469052   53.47027539954 -0.07415363032035   
1.055813883921 47.42759919852 -0.2219440412578   47.02545271879 -0.3450997860424   48.58151733299 -0.3463426135231   53.46852722241 -0.08268621993546   
1.21824678914 47.40837634951 -0.2344074198875   46.99021965133 -0.386043265053   48.48757393151 -0.4175449100975   53.46383259066 -0.08858965625684   
1.380679694358 47.39707565383 -0.2379971969707   46.95359947445 -0.4155835403883   48.38687026939 -0.4215365868619   53.45845322404 -0.09212487362639   
1.543112599577 47.39044233646 -0.2457561817401   46.91861376039 -0.4381577665392   48.30760684603 -0.3936792266815   53.45464818022 -0.09465857626496   
1.705545504796 47.38501391452 -0.2628549864707   46.88688268341 -0.45709594096   48.25789924453 -0.3607383565821   53.45320792333 -0.09735647797498   
1.867978410014 47.37808734699 -0.2883452024722   46.85869177382 -0.4741420379583   48.23475379138 -0.3354112528321   53.45379738584 -0.1007927575463   
2.030411315233 47.36795062969 -0.31851156648   46.83350566388 -0.4899077155234   48.23093231516 -0.3213483809319   53.45561421524 -0.1050350140913   
2.192844220452 47.35385277257 -0.3493209615895   46.81048865302 -0.5044497884407   48.23847760773 -0.318060468283   53.45785157705 -0.1098585331606   
2.35527712567 47.33583701299 -0.377650707221   46.78884128507 -0.5176733485346   48.25032899985 -0.3236504001618   53.45991467611 -0.1149342591696   
2.517710030889 47.31450560159 -0.4016426667755   46.76795213343 -0.5295257637155   48.26099747669 -0.3359591339641   53.46146940056 -0.1199491906154   
2.680142936108 47.29077551127 -0.4205847180936   46.74742827369 -0.5400476171384   48.26675662491 -0.352926032036   53.46240541739 -0.1246653160291   
2.842575841326 47.26566782415 -0.4346062998833   46.72706519855 -0.5493546850586   48.26555986329 -0.3726660174867   53.46276938092 -0.1289360781781   
3.005008746545 47.24015207646 -0.4443518253167   46.70679605564 -0.5576000811629   48.25679473418 -0.3934959032973   53.46269844686 -0.1326985111409   
3.167441651764 47.21504885835 -0.4507076040289   46.68664130117 -0.5649403453413   48.24094692149 -0.4139784921743   53.46236702475 -0.1359544192711   
3.329874556982 47.19098290614 -0.4546053908802   46.66666764623 -0.5715131290556   48.21923241543 -0.4329763324248   53.46194987222 -0.1387490525847   
3.492307462201 47.16837418261 -0.4568989529606   46.64695846915 -0.577426355168   48.19324784199 -0.4496871145393   53.46159990384 -0.1411518845901   
3.654740367419 47.14745401531 -0.4582991752523   46.62759473207 -0.5827559798022   48.16467752877 -0.4636422753454   53.46143736687 -0.1432414715654   
3.817173272638 47.12829521684 -0.4593509908506   46.60864427361 -0.5875491547679   48.13507958621 -0.474668132107   53.46154688577 -0.1450947799291   
3.979606177857 47.11084781777 -0.4604372188446   46.59015718398 -0.5918301481628   48.10575548727 -0.4828219375276   53.46197940632 -0.1467805237574   
4.142039083075 47.09497471903 -0.4617976397857   46.57216522214 -0.5956071493941   48.0776931204 -0.4883194916048   53.46275679831 -0.1483557052788   
4.304471988294 47.08048383119 -0.4635549781746   46.55468364671 -0.5988787654548   48.05156505945 -0.4914681779907   53.46387756379 -0.1498644901777   
4.466904893513 47.06715497377 -0.4657423248815   46.53771425261 -0.6016395465573   48.02776193142 -0.4926134648041   53.46532265809 -0.1513386383342   
4.629337798731 47.05476098859 -0.4683287415022   46.52124877965 -0.6038842585948   48.00644336197 -0.4921012924062   53.4670608486 -0.1527988628826   
4.79177070395 47.04308327218 -0.4712413629894   46.50527216866 -0.6056108666911   47.98759361805 -0.4902549596064   53.46905332263 -0.1542566472773   
4.954203609169 47.03192235004 -0.474383369593   46.48976537234 -0.6068223483985   47.9710738589 -0.4873633089849   53.47125744515 -0.1557161951929   
5.116636514387 47.02110430879 -0.4776478479813   46.47470759747 -0.6075275314298   47.95666682457 -0.4836766800229   53.4736296802 -0.1571763028331   
5.279069419606 47.01048394142 -0.4809279259533   46.46007796451 -0.6077411795501   47.94411252339 -0.479407585003   53.47612775322 -0.1586320324222   
5.441502324825 46.99994541222 -0.4841237345349   46.44585663715 -0.6074835444166   47.93313513321 -0.4747338455196   53.47871216056 -0.1600761282441   
5.603935230043 46.98940115031 -0.4871467973946   46.43202550706 -0.6067795760518   47.92346217661 -0.469802696451   53.48134714092 -0.1615001594606   
5.766368135262 46.97878956375 -0.4899224218837   46.41856852904 -0.6056579510204   47.91483734531 -0.4647349820694   53.48400121905 -0.1628954009543   
5.92880104048 46.96807204856 -0.4923906006634   46.4054717988 -0.6041500397597   47.90702835812 -0.4596290037928   53.48664742129 -0.1642534782814   
6.091233945699 46.95722965688 -0.4945058539469   46.39272345365 -0.6022889011834   47.8998310925 -0.4545638544515   53.48926324858 -0.1655668108127   
6.253666850918 46.94625969297 -0.4962363600136   46.38031346197 -0.6001083623336   47.89307102741 -0.4496022285077   53.49183047851 -0.1668288886245   
6.416099756136 46.9351724259 -0.497562645592   46.36823335297 -0.5976422167191   47.88660282625 -0.4447927712928   53.49433485383 -0.1680344175379   
6.578532661355 46.92398804339 -0.4984760414815   46.35647592422 -0.5949235567633   47.88030869995 -0.4401720548326   53.4967657027 -0.169179363406   
6.740965566574 46.91273392055 -0.4989770531774   46.34503495296 -0.591984242542   47.87409602991 -0.4357662653747   53.49911552526 -0.1702609227633   
6.903398471792 46.90144224011 -0.4990737508809   46.33390492866 -0.5888544996237   47.86789460125 -0.4315926730444   53.50137957204 -0.1712774422414   
7.065831377011 46.89014797235 -0.4987802488865   46.32308081601 -0.5855626342709   47.86165369496 -0.4276609364579   53.50355543259 -0.1722283052635   
7.22826428223 46.87888720438 -0.4981153163089   46.31255785376 -0.5821348503091   47.8553392096 -0.4239742778455   53.50564264659 -0.1731138002422   
7.390697187448 46.86769579547 -0.4971011421313   46.30233138997 -0.5785951519843   47.84893092458 -0.4205305511567   53.50764234541 -0.1739349813684   
7.553130092667 46.85660832764 -0.4957622626915   46.29239675256 -0.5749653169359   47.84241997361 -0.4173232155164   53.50955692846 -0.1746935300864   
7.715562997886 46.84565731716 -0.4941246497667   46.28274915228 -0.5712649244865   47.83580656576 -0.4143422200788   53.51138977608 -0.1753916228213   
7.877995903104 46.83487265108 -0.4922149512814   46.27338361436 -0.5675114264221   47.82909796923 -0.4115748028395   53.51314499895 -0.1760318089423   
8.040428808323 46.82428121454 -0.4900598720562   46.26429493497 -0.5637202485474   47.82230675759 -0.4090062042927   53.51482722255 -0.1766169009396   
8.202861713541 46.81390667565 -0.4876856806181   46.25547765823 -0.5599049138217   47.81544930832 -0.4066202968957   53.51644140462 -0.1771498782416   
8.36529461876 46.80376939873 -0.4851178265041   46.24692607023 -0.5560771787583   47.80854453692 -0.4044001317928   53.5179926827 -0.1776338046223   
8.527727523979 46.79388645882 -0.4823806533639   46.23863420628 -0.5522471770698   47.80161284627 -0.4023284055872   53.51948624895 -0.1780717590768   
8.690160429197 46.78427173459 -0.4794971931732   46.2305958684 -0.548423565197   47.79467526937 -0.4003878509177   53.520927249 -0.1784667791761   
8.852593334416 46.77493605955 -0.4764890286383   46.22280465029 -0.5446136662124   47.78775278302 -0.3985615559074   53.52232070211 -0.1788218160891   
9.015026239635 46.76588741467 -0.4733762115601   46.21525396739 -0.5408236089813   47.78086577075 -0.3968332182493   53.52367143955 -0.1791396998738   
9.177459144853 46.75713114857 -0.4701772266156   46.20793709018 -0.537058460635   47.77403361445 -0.3951873403598   53.52498405864 -0.1794231139256   
9.339892050072 46.74867021377 -0.4669089913513   46.20084717905 -0.5333223510406   47.76727439554 -0.3936093723896   53.52626289009 -0.1796745773082   
9.502324955291 46.74050540986 -0.4635868842899   46.19397731954 -0.5296185883152   47.76060468838 -0.3920858098434   53.52751197644 -0.1798964337478   
9.664757860509 46.73263562653 -0.4602247944565   46.18732055678 -0.5259497650554   47.75403943022 -0.3906042524948   53.52873505959 -0.1800908462258   
9.827190765728 46.7250580808 -0.4568351866068   46.18086992858 -0.5223178551516   47.7475918539 -0.3891534309082   53.52993557582 -0.1802597961144   
9.989623670947 46.71776854454 -0.4534291774135   46.17461849652 -0.5187243013152   47.74127347103 -0.3877232064114   53.53111665687 -0.1804050859769   
10.15205657617 46.71076155922 -0.450016618805   46.16855937451 -0.5151700936919   47.73509409523 -0.3863045498789   53.53228113566 -0.1805283452103   
10.31448948138 46.7040306362 -0.4466061852867   46.16268575485 -0.5116558399596   47.72906189621 -0.3848895040419   53.53343155571 -0.1806310378321   
10.4769223866 46.69756844113 -0.4432054627739   46.15699093142 -0.5081818274543   47.72318347694 -0.3834711334694   53.53457018327 -0.1807144718305   
10.63935529182 46.69136696216 -0.4398210370084   46.1514683201 -0.5047480779084   47.71746396749 -0.3820434657901   53.53569902142 -0.1807798095582   
10.80178819704 46.68541766179 -0.4364585800807   46.14611147635 -0.5013543954132   47.71190713002 -0.3806014271531   53.53681982559 -0.1808280787767   
10.96422110226 46.67971161275 -0.4331229338814   46.14091411012 -0.4980004081328   47.70651547044 -0.3791407743877   53.53793411973 -0.1808601839525   
11.12665400748 46.67423961846 -0.4298181897769   46.13587009824 -0.494685604456   47.70129035316 -0.3776580259091   53.53904321306 -0.1808769176016   
11.2890869127 46.66899231887 -0.4265477639098   46.13097349427 -0.4914093640881   47.696232116 -0.3761503929515   53.5401482167 -0.1808789714152   
11.45151981791 46.66396028267 -0.4233144677847   46.12621853626 -0.4881709846198   47.69134018298 -0.3746157123655   53.54125006025 -0.1808669470088   
11.61395272313 46.65913408667 -0.420120573996   46.12159965235 -0.4849697041059   47.68661317333 -0.3730523819209   53.54234950778 -0.1808413661858   
